,"Island","Name","Organism","Sample","label","Alt_label"
"56","Mauritius","E04_Mau270","Cratopus punctum","T-Mau 270","Cratopus punctum (Mauritius)","Cratopus punctum (Mauritius)"
"60","Grande Glorieuse","G10_GGL2","Cratopus gloriosus","T-GGL2","Cratopus gloriosus (Grande Glorieuse)","Cratopus gloriosus (Grande Glorieuse)"
"67","Reunion","C04_Reu3837","Cratopus nanus","T-Reu 3837","Cratopus nanus (Reunion)","Cratopus nanus (Reunion)"
"7","La Digue","C05_Dig2","Cratopus griseovestitus","T-Dig2","Cratopus griseovestitus (La Digue)","Cratopus griseovestitus (La Digue)"
"70","Mauritius","B03_Mau3189","Cratopus caliginosus","T-Mau 3189","Cratopus caliginosus (Mauritius)","Cratopus caliginosus (Mauritius)"
"71","Mauritius","H08_Mau3333","Cratopus psittacus","T-Mau 3333","Cratopus psittacus (Mauritius)","Cratopus psittacus (Mauritius)"
"74","Europa","C09_EUR51","Cratopus viridisparsus","T-EUR51","Cratopus viridisparsus (Europa)","Cratopus viridisparsus (Europa)"
"75","Aride Island","A07_Ari1","Cratopus griseovestitus","T-Ari1","Cratopus griseovestitus (Aride Island)","Cratopus griseovestitus (Aride Island)"
"77","Mauritius","C02_Mau3202","Cratopus molitor","T-Mau 3202","Cratopus molitor (Mauritius)","Cratopus molitor (Mauritius)"
"78","Mauritius","H07_Mau3899","Cratopus ovalis","T-Mau 3899","Cratopus ovalis (Mauritius)","Cratopus ovalis (Mauritius)"
"8","Grande Comore","H05_GRA5","Cratopus GrandeComore_sp1","T-GRA5","Cratopus GrandeComore_sp1 (Grande Comore)","Cratopus GrandeComore_sp1 (Grande Comore)"
"80","Reunion","C06_Reu2000","Cratopus ditissimus","T-Reu 2000","Cratopus ditissimus (Reunion)","Cratopus ditissimus (Reunion)"
"85","Reunion","Reu_punc","Cratopus punctum","T-Reu 3911","Cratopus punctum (Reunion)","Cratopus punctum (Reunion)"
"86","Reunion","Reu_mur","Cratopus murinus","T-Reu 3850","Cratopus murinus (Reunion)","Cratopus murinus (Reunion)"
"62","Madagascar","A04_Mad502","Polyclaeis equestris","T-Mad502","Polyclaeis equestris (Madagascar)","Polyclaeis equestris (Madagascar)"
