A	B	C	D	E	F	G	H	I	J	K	L
0	0.370958606509679	0.451972688831129	0.687318151840788	0.277782519300151	0.342782325328782	0.331939325755518	0.326003801838849	0.362144547464794	0.189575978585561	0.436253249020445	0.752605035496761
0.370958606509679	0	0.0915971602591458	0.325394731737596	0.611840012414168	0.532381580478721	0.618058734530783	0.595216666020095	0.647647127284013	0.551433448423013	0.633704465220933	0.716894906311828
0.451972688831129	0.0915971602591458	0	0.236780851146371	0.701012530550491	0.568859836288164	0.671195251580867	0.645470768514567	0.699546106994608	0.625829227606005	0.665744656088761	0.687488846646235
0.687318151840788	0.325394731737596	0.236780851146371	0	0.937141637894247	0.754630096597742	0.877072584086589	0.848097140862009	0.90317337161035	0.855898669356403	0.840761143655196	0.733917833727742
0.277782519300151	0.611840012414168	0.701012530550491	0.937141637894247	0	0.544811265857159	0.453966714512938	0.469205105326454	0.474178531248788	0.248807076075571	0.610043837529581	1
0.342782325328782	0.532381580478721	0.568859836288164	0.754630096597742	0.544811265857159	0	0.155072351320945	0.121123482174031	0.169236140745626	0.302331535865306	0.104065639911549	0.468828800868992
0.331939325755518	0.618058734530783	0.671195251580867	0.877072584086589	0.453966714512938	0.155072351320945	0	0.0340380959770338	0.0309345540598208	0.207223493812313	0.166861931178958	0.609496838266672
0.326003801838849	0.595216666020095	0.645470768514567	0.848097140862009	0.469205105326454	0.121123482174031	0.0340380959770338	0	0.0551072661675137	0.220510532645382	0.143007332117779	0.578911432672538
0.362144547464794	0.647647127284013	0.699546106994608	0.90317337161035	0.474178531248788	0.169236140745626	0.0309345540598208	0.0551072661675137	0	0.23025565426543	0.161508321371766	0.610594716219886
0.189575978585561	0.551433448423013	0.625829227606005	0.855898669356403	0.248807076075571	0.302331535865306	0.207223493812313	0.220510532645382	0.23025565426543	0	0.361376420840284	0.76785118516507
0.436253249020445	0.633704465220933	0.665744656088761	0.840761143655196	0.610043837529581	0.104065639911549	0.166861931178958	0.143007332117779	0.161508321371766	0.361376420840284	0	0.451235597625791
0.752605035496761	0.716894906311828	0.687488846646235	0.733917833727742	1	0.468828800868992	0.609496838266672	0.578911432672538	0.610594716219886	0.76785118516507	0.451235597625791	0

END
